Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60638,PRECINCT,13
City of Chicago,60638,PRECINCT,14
City of Chicago,60638,PRECINCT,15
City of Chicago,60638,PRECINCT,16
City of Chicago,60638,PRECINCT,17
City of Chicago,60638,PRECINCT,18
City of Chicago,60638,PRECINCT,19
City of Chicago,60638,PRECINCT,2
City of Chicago,60638,PRECINCT,20
City of Chicago,60638,PRECINCT,21
City of Chicago,60638,PRECINCT,23
City of Chicago,60638,PRECINCT,24
City of Chicago,60638,PRECINCT,3
City of Chicago,60638,PRECINCT,30
City of Chicago,60638,PRECINCT,31
City of Chicago,60638,PRECINCT,32
City of Chicago,60638,PRECINCT,33
City of Chicago,60638,PRECINCT,34
City of Chicago,60638,PRECINCT,35
City of Chicago,60638,PRECINCT,37
City of Chicago,60638,PRECINCT,38
City of Chicago,60638,PRECINCT,39
City of Chicago,60638,PRECINCT,4
City of Chicago,60638,PRECINCT,40
City of Chicago,60638,PRECINCT,5
City of Chicago,60638,PRECINCT,6
City of Chicago,60638,PRECINCT,7
City of Chicago,60638,PRECINCT,8
City of Chicago,60638,PRECINCT,9
City of Chicago,60639,PRECINCT,1
City of Chicago,60639,PRECINCT,10
City of Chicago,60639,PRECINCT,11
City of Chicago,60639,PRECINCT,12
City of Chicago,60639,PRECINCT,13
City of Chicago,60639,PRECINCT,14
City of Chicago,60639,PRECINCT,15
City of Chicago,60639,PRECINCT,16
City of Chicago,60639,PRECINCT,17
City of Chicago,60639,PRECINCT,18
City of Chicago,60639,PRECINCT,19
City of Chicago,60639,PRECINCT,2
City of Chicago,60639,PRECINCT,20
City of Chicago,60639,PRECINCT,21
City of Chicago,60639,PRECINCT,22
City of Chicago,60639,PRECINCT,23
City of Chicago,60639,PRECINCT,24
City of Chicago,60639,PRECINCT,3
City of Chicago,60639,PRECINCT,4
City of Chicago,60639,PRECINCT,5
City of Chicago,60639,PRECINCT,7
City of Chicago,60639,PRECINCT,8
City of Chicago,60639,PRECINCT,9
City of Chicago,60640,PRECINCT,10
City of Chicago,60640,PRECINCT,11
City of Chicago,60640,PRECINCT,12
City of Chicago,60640,PRECINCT,13
City of Chicago,60640,PRECINCT,14
City of Chicago,60640,PRECINCT,15
City of Chicago,60640,PRECINCT,16
City of Chicago,60640,PRECINCT,17
City of Chicago,60640,PRECINCT,18
City of Chicago,60640,PRECINCT,19
City of Chicago,60640,PRECINCT,2
City of Chicago,60640,PRECINCT,20
City of Chicago,60640,PRECINCT,21
City of Chicago,60640,PRECINCT,22
City of Chicago,60640,PRECINCT,23
City of Chicago,60640,PRECINCT,24
City of Chicago,60640,PRECINCT,29
City of Chicago,60640,PRECINCT,3
City of Chicago,60640,PRECINCT,4
City of Chicago,60640,PRECINCT,5
City of Chicago,60640,PRECINCT,6
City of Chicago,60640,PRECINCT,7
